,Antecedent,Consequent,Lift,Support,Confidence
0,amazon_papaya,cabbage,1.2945104723655638,0.11688311688311688,0.3185840707964602
1,canned_peas,amazon_papaya,1.391332915823948,0.11428571428571428,0.3424124513618677
2,cauliflower,amazon_papaya,1.4281140636557335,0.10909090909090909,0.3514644351464435
3,chocolate_powder,amazon_papaya,1.1974532239750917,0.1551948051948052,0.2946979038224414
4,amazon_papaya,creamy_white_cheese,1.3027452718080927,0.10909090909090909,0.32061068702290074
5,egg,amazon_papaya,1.0300385630200934,0.18831168831168832,0.2534965034965035
6,amazon_papaya,french_bread,1.0577774830296112,0.18831168831168832,0.26032315978456017
7,garlic,amazon_papaya,1.0377105743860362,0.1616883116883117,0.2553846153846154
8,green_beans,amazon_papaya,1.3515349859014574,0.10064935064935066,0.33261802575107297
9,mayonnaise,amazon_papaya,1.0943169838135676,0.15844155844155844,0.2693156732891832
10,sausage,amazon_papaya,1.2797303261063484,0.11493506493506493,0.31494661921708184
11,soda_bottle_large,amazon_papaya,0.9966645093841788,0.1012987012987013,0.24528301886792453
12,soy_oil,amazon_papaya,0.9544722069734908,0.1590909090909091,0.2348993288590604
13,tomato,amazon_papaya,0.9745371860051054,0.11493506493506493,0.23983739837398374
14,vinegar,amazon_papaya,1.0455114033408022,0.17727272727272728,0.2573044297832234
15,amazon_papaya,wheat_flour_special,1.2257695690413368,0.11753246753246753,0.30166666666666664
16,banana,beetroot,1.1439927365540536,0.15194805194805194,0.4895397489539749
17,banana,butter,1.1290515080731787,0.16753246753246753,0.48314606741573035
18,banana,cabbage,0.901661138490875,0.14155844155844155,0.38584070796460174
19,banana,canned_peas,0.8183605628147824,0.11688311688311688,0.35019455252918286
20,banana,canned_sardine,1.0117894245360102,0.1279220779220779,0.4329670329670329
21,banana,cauliflower,0.7919949714604987,0.10519480519480519,0.3389121338912134
22,banana,chocolate_powder,0.9537673379499259,0.21493506493506492,0.408138101109741
23,banana,coffee,1.2950478490254023,0.11623376623376623,0.5541795665634676
24,banana,cream_cracker_biscuits,1.285280728376328,0.16428571428571428,0.55
25,banana,creamy_white_cheese,0.8830172943043473,0.12857142857142856,0.3778625954198473
26,banana,cucumber,0.9877980335502108,0.14025974025974025,0.42270058708414865
27,banana,egg,1.0274892027547566,0.32662337662337665,0.4396853146853147
28,banana,flour,1.4679518690290452,0.1448051948051948,0.628169014084507
29,banana,french_bread,1.0027161549924672,0.3103896103896104,0.42908438061041293
30,banana,garlic,1.1145091630675852,0.30194805194805197,0.476923076923077
31,banana,granulated_sugar,1.3478755690440059,0.20974025974025973,0.5767857142857142
32,banana,green_beans,0.852507701225032,0.11038961038961038,0.3648068669527897
33,banana,guava_candy,1.2583167970117894,0.12272727272727273,0.5384615384615384
34,banana,ketchup,1.0106733767439477,0.1331168831168831,0.43248945147679324
35,banana,lime,1.3286574875279762,0.11038961038961038,0.568561872909699
36,banana,mayonnaise,0.9440352128953159,0.23766233766233766,0.4039735099337748
37,banana,orange,1.180239419996628,0.12987012987012986,0.5050505050505051
38,banana,papaya,1.1488815944025752,0.1525974025974026,0.4916317991631799
39,banana,parboiled_rice,1.0355342361325863,0.12142857142857143,0.4431279620853081
40,banana,popping_corn,0.9576601505549108,0.1357142857142857,0.40980392156862744
41,banana,potato,1.1728462221204226,0.17272727272727273,0.5018867924528302
42,banana,salt,1.0492087578582268,0.1,0.44897959183673475
